id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
401019473,2018,1,regular,2018-09-01T16:00:00.000Z,,FALSE,FALSE,0,3806,Lincoln Financial Field,218,Temple,American Athletic,17,3,7,7,0,0.08018018,222,Villanova,,19,13,0,0,6,0.91981982,6.433068469
401013091,2018,1,regular,2018-09-01T16:00:00.000Z,,FALSE,FALSE,0,3670,Carter-Finley Stadium,152,NC State,ACC,24,0,17,0,7,0.839090961,256,James Madison,,13,7,0,3,3,0.160909039,3.873904623
401012820,2018,1,regular,2018-09-01T16:00:00.000Z,,FALSE,FALSE,0,3754,High Point Solutions Stadium,164,Rutgers,Big Ten,35,7,14,7,7,0.999258131,326,Texas State,Sun Belt,7,0,0,7,0,0.000741869,1.116979032
401013065,2018,1,regular,2018-09-01T16:00:00.000Z,,FALSE,FALSE,0,3835,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,63,28,14,14,7,0.999992803,2226,Florida Atlantic,Conference USA,14,0,0,7,7,7.19718E-06,0.451379605
401013072,2018,1,regular,2018-09-01T16:00:00.000Z,,FALSE,FALSE,0,3616,Amon G. Carter Stadium,2628,TCU,Big 12,55,17,21,17,0,0.999992176,2582,Southern,,7,0,7,0,0,7.82435E-06,0.022549973
401012804,2018,1,regular,2018-09-01T16:00:00.000Z,,FALSE,FALSE,0,3832,Memorial Stadium,356,Illinois,Big Ten,31,3,0,21,7,0.834015311,2309,Kent State,Mid-American,24,7,10,7,0,0.165984689,6.719880111
401014977,2018,1,regular,2018-09-01T16:00:00.000Z,,FALSE,FALSE,0,3895,Rice Stadium,242,Rice,Conference USA,27,7,17,3,0,0.05005196,248,Houston,American Athletic,45,3,14,14,14,0.94994804,3.956750263
401012253,2018,1,regular,2018-09-01T16:00:00.000Z,,TRUE,FALSE,0,3891,NRG Stadium,2641,Texas Tech,Big 12,27,7,10,10,0,0.007730745,145,Ole Miss,SEC,47,24,6,7,10,0.992269255,3.651817343
401012682,2018,1,regular,2018-09-01T16:00:00.000Z,,FALSE,FALSE,0,3861,Ohio Stadium,194,Ohio State,Big Ten,77,21,21,14,21,0.999943528,204,Oregon State,Pac-12,31,7,7,17,0,5.64724E-05,0.140911498
401012872,2018,1,regular,2018-09-01T16:00:00.000Z,,TRUE,FALSE,0,3719,FedEx Field,120,Maryland,Big Ten,34,14,10,0,10,0.913150098,251,Texas,Big 12,29,7,15,7,0,0.086849902,9.138372927
401013088,2018,1,regular,2018-09-01T16:20:00.000Z,,FALSE,FALSE,0,3836,Memorial Stadium,228,Clemson,ACC,48,10,17,14,7,0.999984078,231,Furman,,7,0,0,0,7,1.59216E-05,0.025088383
401013090,2018,1,regular,2018-09-01T16:30:00.000Z,,FALSE,FALSE,0,721,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,41,7,13,21,0,0.999995988,2016,Alcorn State,,0,0,0,0,0,4.01222E-06,0.070133829
401013087,2018,1,regular,2018-09-01T17:00:00.000Z,,FALSE,FALSE,0,3615,Alumni Stadium,103,Boston College,ACC,55,14,34,0,7,0.999825569,113,UMass,FBS Independents,21,7,0,0,14,0.000174431,0.662209095
401022514,2018,1,regular,2018-09-01T18:00:00.000Z,,FALSE,FALSE,0,3713,Falcon Stadium,2005,Air Force,Mountain West,38,14,10,0,14,0.999994703,2619,Stony Brook,,0,0,0,0,0,5.29706E-06,0.886073061
401020675,2018,1,regular,2018-09-01T18:00:00.000Z,,FALSE,FALSE,0,3876,Peden Stadium,195,Ohio,Mid-American,38,3,14,14,7,0.452725809,47,Howard,,32,10,12,7,3,0.547274191,3.830206826
401013092,2018,1,regular,2018-09-01T19:30:00.000Z,,FALSE,FALSE,0,3752,Heinz Field,221,Pittsburgh,ACC,33,19,14,0,0,0.999736589,399,Albany,,7,7,0,0,0,0.000263411,0.220868839
401012250,2018,1,regular,2018-09-01T19:30:00.000Z,,FALSE,FALSE,0,3917,Sanford Stadium,61,Georgia,SEC,45,17,21,7,0,0.999992203,2046,Austin Peay,,0,0,0,0,0,7.79674E-06,0.023404544
401012251,2018,1,regular,2018-09-01T19:30:00.000Z,,FALSE,FALSE,0,3683,Commonwealth Stadium,96,Kentucky,SEC,35,7,14,7,7,0.9948967,2117,Central Michigan,Mid-American,20,3,17,0,0,0.0051033,5.877333049
401012248,2018,1,regular,2018-09-01T19:30:00.000Z,,TRUE,FALSE,0,5348,Mercedes-Benz Stadium,2,Auburn,SEC,21,9,6,0,6,0.608182195,264,Washington,Pac-12,16,3,10,0,3,0.391817805,7.480704158
401013349,2018,1,regular,2018-09-01T19:30:00.000Z,,FALSE,FALSE,105232,3632,Beaver Stadium,213,Penn State,Big Ten,45,7,3,14,14,0.980509602,2026,Appalachian State,Sun Belt,38,10,0,0,28,0.019490398,6.476894981
401012683,2018,1,regular,2018-09-01T19:30:00.000Z,,FALSE,FALSE,0,3984,War Memorial Stadium,2751,Wyoming,Mountain West,19,2,14,3,0,0.005358725,265,Washington State,Pac-12,41,10,3,7,21,0.994641275,7.14295319
401012257,2018,1,regular,2018-09-01T19:30:00.000Z,,TRUE,FALSE,0,3628,Bank of America Stadium,2633,Tennessee,SEC,14,0,7,7,0,0.004273318,277,West Virginia,Big 12,40,10,3,20,7,0.995726682,2.823842157
401012862,2018,1,regular,2018-09-01T19:40:00.000Z,,FALSE,FALSE,0,3793,Kinnick Stadium,2294,Iowa,Big Ten,33,0,3,14,16,0.99878374,2459,Northern Illinois,Mid-American,7,0,0,0,7,0.00121626,3.046011433
401012247,2018,1,regular,2018-09-01T20:00:00.000Z,,FALSE,FALSE,0,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,55,10,28,10,7,0.996743181,2197,Eastern Illinois,,20,0,6,7,7,0.003256819,0.179641016
401012255,2018,1,regular,2018-09-01T20:00:00.000Z,,FALSE,FALSE,0,3838,Faurot Field,142,Missouri,SEC,51,14,24,10,3,0.99596815,2630,UT Martin,,14,0,7,7,0,0.00403185,0.090577378
401012678,2018,1,regular,2018-09-01T20:00:00.000Z,,FALSE,FALSE,0,477,Los Angeles Memorial Coliseum,30,USC,Pac-12,43,6,13,0,24,0.996740979,2439,UNLV,Mountain West,21,7,7,0,7,0.003259021,2.403270652
401012684,2018,1,regular,2018-09-01T20:00:00.000Z,,FALSE,FALSE,0,3831,California Memorial Stadium,25,California,Pac-12,24,7,10,7,0,0.896820018,153,North Carolina,ACC,17,0,0,3,14,0.103179982,3.2874759
401013448,2018,1,regular,2018-09-01T22:00:00.000Z,,FALSE,FALSE,0,3992,Williams Stadium,2335,Liberty,FBS Independents,52,14,0,10,28,0.999840273,295,Old Dominion,Conference USA,10,3,7,0,0,0.000159727,5.048246379
