id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
400603840,2015,1,regular,2015-09-03T18:00:00.000Z,,TRUE,FALSE,51664,3628,Bank of America Stadium,2579,South Carolina,SEC,17,0,10,0,7,0.322459325,153,North Carolina,ACC,13,7,6,0,0,0.677540675,7.949785859
400763593,2015,1,regular,2015-09-03T18:00:00.000Z,,FALSE,FALSE,39184,3652,Bright House Networks Stadium,2116,UCF,American Athletic,14,7,7,0,0,0.101317313,2229,Florida International,Conference USA,15,3,0,6,6,0.898682687,5.390337907
400763399,2015,1,regular,2015-09-03T19:00:00.000Z,,FALSE,FALSE,19717,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,13,3,3,7,0,0.08629502,197,Oklahoma State,Big 12,24,3,7,7,7,0.91370498,3.188540636
400756896,2015,1,regular,2015-09-03T19:00:00.000Z,,FALSE,FALSE,27126,3630,BB&T Field,154,Wake Forest,ACC,41,3,21,14,3,0.999986178,2210,Elon,,3,0,0,3,0,1.3822E-05,2.087295765
400787299,2015,1,regular,2015-09-03T19:00:00.000Z,,FALSE,FALSE,10473,3919,Scheumann Stadium,2050,Ball State,Mid-American,48,3,17,14,14,0.533379829,2678,VMI,,36,0,10,7,19,0.466620171,4.738078105
400764854,2015,1,regular,2015-09-03T19:30:00.000Z,,FALSE,FALSE,26113,3892,Rentschler Field,41,Connecticut,American Athletic,20,6,0,7,7,0.97519545,222,Villanova,,15,0,9,0,6,0.02480455,6.310949423
400756895,2015,1,regular,2015-09-03T19:30:00.000Z,,FALSE,FALSE,49196,721,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,69,34,14,14,7,0.999997106,2016,Alcorn State,,6,0,0,6,0,2.89401E-06,1.046623768
400603839,2015,1,regular,2015-09-03T20:00:00.000Z,,FALSE,FALSE,30307,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,12,0,3,0,9,0.690378016,98,Western Kentucky,Conference USA,14,0,0,7,7,0.309621984,5.657550961
400756883,2015,1,regular,2015-09-03T20:30:00.000Z,,FALSE,FALSE,47825,587,Rice-Eccles Stadium,254,Utah,Pac-12,24,3,7,7,7,0.901752451,130,Michigan,Big Ten,17,0,3,7,7,0.098247549,4.617671116
400787110,2015,1,regular,2015-09-03T21:00:00.000Z,,FALSE,FALSE,21209,3905,Romney Stadium,328,Utah State,Mountain West,12,5,0,0,7,0.29176428,253,Southern Utah,,9,6,3,0,0,0.70823572,8.845294967
400763398,2015,1,regular,2015-09-03T21:00:00.000Z,,FALSE,FALSE,54147,3953,TCF Bank Stadium,135,Minnesota,Big Ten,17,0,3,7,7,0.078370704,2628,TCU,Big 12,23,10,0,10,3,0.921629296,2.753793028
400787302,2015,1,regular,2015-09-03T21:00:00.000Z,,FALSE,FALSE,11587,3791,Kibbie Dome,70,Idaho,Sun Belt,28,3,10,0,15,0.005922595,195,Ohio,Mid-American,45,21,7,3,14,0.994077405,4.974684904
400756894,2015,1,regular,2015-09-03T21:30:00.000Z,,FALSE,FALSE,25470,4729,Benson Field at Yulman Stadium,2655,Tulane,American Athletic,7,0,0,0,7,0.005530113,150,Duke,ACC,37,3,10,3,21,0.994469887,2.758259014
