year,rank,team,points
2016,1,Alabama,302.04
2016,2,LSU,295.03
2016,3,Florida State,294.83
2016,4,Ohio State,289.12
2016,5,Ole Miss,281.69
2016,6,Georgia,281.31
2016,7,Texas,280.66
2016,8,Michigan,280.38
2016,9,Auburn,275.14
2016,10,USC,273.71
2016,11,Clemson,271.16
2016,12,Florida,260.96
2016,13,UCLA,259.06
2016,14,Tennessee,253.94
2016,15,Notre Dame,249.43
2016,16,Stanford,245.82
2016,17,Michigan State,239.13
2016,18,Texas A&M,238.94
2016,19,Oklahoma,238.73
2016,20,Penn State,237.79
2016,21,TCU,235.79
2016,22,Miami,231.78
2016,23,Arkansas,219.34
2016,24,Arizona State,217.62
2016,25,South Carolina,216.77
2016,26,Nebraska,216.76
2016,27,Oregon,216.42
2016,28,Mississippi State,211.11
2016,29,Washington,209.87
2016,30,Pittsburgh,209.23
2016,31,California,207.80
2016,32,North Carolina,204.83
2016,33,Duke,204.67
2016,34,Kentucky,204.07
2016,35,Wisconsin,202.85
2016,36,Houston,201.50
2016,37,Utah,200.66
2016,38,Louisville,196.02
2016,39,West Virginia,194.45
2016,40,Baylor,191.99
2016,41,Maryland,190.15
2016,42,Virginia Tech,190.06
2016,43,Missouri,188.37
2016,44,Texas Tech,184.64
2016,45,Oklahoma State,184.33
2016,46,Minnesota,182.22
2016,47,Iowa,181.39
2016,48,Arizona,180.42
2016,49,BYU,177.85
2016,50,NC State,177.67
2016,51,Marshall,176.55
2016,52,Northwestern,174.91
2016,53,Indiana,172.23
2016,54,Vanderbilt,171.54
2016,55,Iowa State,170.58
2016,56,Washington State,169.74
2016,57,Wake Forest,169.40
2016,58,Oregon State,169.17
2016,59,Temple,167.55
2016,60,Georgia Tech,167.13
2016,61,Memphis,165.98
2016,62,Syracuse,165.15
2016,63,Virginia,164.95
2016,64,Rutgers,163.80
2016,65,UCF,162.22
2016,66,South Florida,161.21
2016,67,Western Michigan,160.72
2016,68,Boise State,160.66
2016,69,Colorado,160.42
2016,70,Kansas,159.19
2016,71,UAB,158.61
2016,72,Kansas State,155.49
2016,73,Illinois,153.64
2016,74,Cincinnati,152.74
2016,75,SMU,152.27
2016,76,Colorado State,150.50
2016,77,Georgia Southern,149.40
2016,78,Boston College,146.69
2016,79,East Carolina,146.62
2016,80,Purdue,145.09
2016,81,UNLV,142.78
2016,82,San Diego State,141.93
2016,83,New Mexico,141.76
