year,rank,team,points
2016,84,San José State,137.84
2016,85,Fresno State,137.22
2016,86,UMass,136.04
2016,87,South Alabama,134.08
2016,88,Toledo,132.92
2016,89,Florida Atlantic,132.74
2016,90,Arkansas State,132.18
2016,91,Navy,132.07
2016,92,Utah State,130.65
2016,93,Miami (OH),129.79
2016,94,Louisiana Tech,128.91
2016,95,Tulsa,128.52
2016,96,Middle Tennessee,128.26
2016,97,Tulane,127.78
2016,98,Troy,127.73
2016,99,Connecticut,126.83
2016,100,Southern Mississippi,126.05
2016,101,Western Kentucky,124.10
2016,102,North Texas,122.36
2016,103,UT San Antonio,120.32
2016,104,Florida International,119.80
2016,105,Nevada,118.76
2016,106,Louisiana,115.83
2016,107,Central Michigan,112.52
2016,108,Hawai'i,111.87
2016,109,Appalachian State,111.72
2016,110,Texas State,111.71
2016,111,Bowling Green,111.58
2016,112,Northern Illinois,111.40
2016,113,Ball State,110.91
2016,114,Air Force,110.90
2016,115,Ohio,109.82
2016,116,Wyoming,109.65
2016,117,Army,108.90
2016,118,Buffalo,107.51
2016,119,Charlotte,106.83
2016,120,Old Dominion,106.63
2016,121,Eastern Michigan,102.89
2016,122,Yale,102.29
2016,123,Idaho,101.42
2016,124,Louisiana Monroe,99.51
2016,125,UTEP,99.39
2016,126,Coastal Carolina,97.11
2016,127,Georgia State,96.32
2016,128,New Mexico State,94.49
2016,129,Rice,93.86
2016,130,Columbia,90.67
2016,131,Kent State,82.77
2016,132,Akron,82.29
2016,133,Tennessee State,81.09
2016,134,Stephen F. Austin,79.35
2016,135,Lamar,79.32
2016,136,North Dakota State,77.25
2016,137,Montana,75.88
2016,138,Northern Arizona,75.01
2016,139,Harvard,74.84
2016,140,Sam Houston State,69.30
2016,141,UC Davis,69.20
2016,142,Northern Iowa,68.30
2016,144,Austin Peay,67.88
2016,145,Eastern Washington,64.63
2016,146,Samford,64.62
2016,147,Florida A&M,63.31
2016,148,Central Arkansas,62.30
2016,149,South Dakota State,61.31
2016,150,Grand Valley State,60.25
2016,151,Jacksonville State,58.06
2016,152,Richmond,57.89
2016,153,Northern Colorado,56.31
2016,154,Eastern Kentucky,56.10
2016,155,Bethune-Cookman,56.07
2016,156,James Madison,55.72
2016,157,Southeast Missouri State,55.17
2016,158,Pennsylvania,53.42
2016,159,South Dakota,49.75
2016,160,Tennessee Tech,49.02
2016,161,Weber State,48.18
2016,162,Western Carolina,47.73
2016,163,McNeese,46.78
2016,164,Wofford,46.72
2016,165,Montana State,46.61
2016,166,Youngstown State,46.34
2016,167,Portland State,46.18
2016,168,Rhode Island,46.14
2016,169,Idaho State,45.42
2016,170,Furman,45.22
2016,171,Murray State,42.71
2016,172,Dartmouth,42.51
2016,173,Princeton,42.21
2016,174,Nicholls,41.98
2016,175,Southeastern Louisiana,40.99
2016,176,Indiana State,39.37
2016,177,Southern Utah,38.01
2016,178,Lehigh,37.73
2016,179,Towson,37.47
2016,180,Liberty,35.65
2016,181,Northwestern State,35.30
2016,182,Illinois State,34.92
2016,183,Chattanooga,34.03
2016,184,Delaware,32.74
2016,185,Jackson State,31.80
2016,186,Villanova,30.97
2016,187,Mercer,29.96
2016,188,Prairie View,29.53
2016,189,Cal Poly,29.43
2016,190,Gardner-Webb,29.25
2016,191,William & Mary,27.71
2016,192,South Carolina State,27.65
2016,193,Missouri State,27.34
2016,194,Southern,26.44
2016,195,Alabama State,26.02
2016,196,Alcorn State,25.55
2016,197,Stony Brook,25.36
2016,198,Albany,25.30
2016,199,Eastern Illinois,25.15
2016,200,North Carolina Central,24.82
2016,201,Charleston Southern,24.29
2016,202,Savannah State,24.24
2016,203,North Dakota,21.96
2016,204,Robert Morris,21.06
2016,205,San Diego,20.91
2016,206,VMI,20.11
2016,207,Kennesaw State,20.00
2016,208,Georgetown,19.96
2016,209,Delaware State,19.92
2016,210,Bucknell,19.13
2016,211,Fordham,19.12
2016,213,Holy Cross,18.82
2016,215,Presbyterian College,17.72
2016,216,Norfolk State,16.68
2016,217,Southern Illinois,16.63
2016,218,Hampton,15.61
2016,219,Elon,15.61
2016,220,Morehead State,15.51
2016,221,Colgate,15.51
2016,222,New Hampshire,14.63
2016,223,North Carolina A&T,14.61
2016,224,Lafayette,14.44
2016,231,Sacred Heart,12.50
2016,232,Cornell,12.21
2016,233,UT Martin,11.94
2016,234,Western Illinois,11.29
2016,236,Brown,10.69
2016,239,Houston Baptist,9.95
2016,241,Monmouth,8.82
2016,242,Alabama A&M,8.42
2016,243,The Citadel,7.67
2016,244,Campbell,6.67
2016,246,Morgan State,6.67
2016,248,Texas Southern,6.67
2016,256,Central Connecticut,6.67
2016,259,Drake,5.31
2016,261,Wagner,0.00
2016,285,Howard,-0.03
2016,286,Maine,-0.11
