id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
332412309,2013,1,regular,2013-08-29T18:00:00.000Z,,FALSE,FALSE,20790,3696,Dix Stadium,2309,Kent State,Mid-American,17,7,0,0,10,0.396157461,2335,Liberty,,10,0,3,7,0,0.603842539,4.923544967
332412579,2013,1,regular,2013-08-29T18:00:00.000Z,,FALSE,FALSE,81572,3994,Williams-Brice Stadium,2579,South Carolina,SEC,27,17,3,7,0,0.655586155,153,North Carolina,ACC,10,0,7,3,0,0.344413845,4.258905806
332410154,2013,1,regular,2013-08-29T18:30:00.000Z,,FALSE,FALSE,26202,3630,BB&T Field,154,Wake Forest,ACC,31,3,14,7,7,0.999789097,2506,Presbyterian College,,7,7,0,0,0,0.000210903,4.070027181
332410135,2013,1,regular,2013-08-29T19:00:00.000Z,,FALSE,FALSE,44217,3953,TCF Bank Stadium,135,Minnesota,Big Ten,51,3,13,14,21,0.448321585,2439,UNLV,Mountain West,23,6,7,3,7,0.551678415,5.598995973
332412116,2013,1,regular,2013-08-29T19:00:00.000Z,,FALSE,FALSE,35115,3652,Bright House Networks Stadium,2116,UCF,American Athletic,38,14,10,14,0,0.995079621,2006,Akron,Mid-American,7,0,0,0,7,0.004920379,4.05537719
332412050,2013,1,regular,2013-08-29T19:00:00.000Z,,FALSE,FALSE,16327,3919,Scheumann Stadium,2050,Ball State,Mid-American,51,9,7,21,14,0.91362485,2287,Illinois State,,28,14,7,0,7,0.08637515,6.116202129
332410189,2013,1,regular,2013-08-29T19:00:00.000Z,,FALSE,FALSE,18142,3700,Doyt Perry Stadium,189,Bowling Green,Mid-American,34,3,3,7,21,0.648534764,202,Tulsa,Conference USA,7,0,0,0,7,0.351465236,5.352316145
332410084,2013,1,regular,2013-08-29T19:00:00.000Z,,FALSE,FALSE,40278,3830,Memorial Stadium,84,Indiana,Big Ten,73,21,24,21,7,0.999810547,282,Indiana State,,35,7,14,7,7,0.000189453,2.046742356
332412393,2013,1,regular,2013-08-29T19:30:00.000Z,,FALSE,FALSE,20011,3725,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Conference USA,45,21,10,7,7,0.861885307,2717,Western Carolina,,24,0,18,0,6,0.138114693,2.082415883
332410006,2013,1,regular,2013-08-29T19:30:00.000Z,,FALSE,FALSE,15240,3797,Ladd Peebles Stadium,6,South Alabama,Sun Belt,21,0,7,7,7,0.288504461,253,Southern Utah,,22,10,0,3,9,0.711495539,6.489001494
332410041,2013,1,regular,2013-08-29T19:30:00.000Z,,FALSE,FALSE,30689,3892,Rentschler Field,41,Connecticut,American Athletic,18,7,3,0,8,0.538723645,119,Towson,,33,7,6,6,14,0.461276355,5.270729728
332412655,2013,1,regular,2013-08-29T20:00:00.000Z,,FALSE,FALSE,20992,3493,Mercedes-Benz Superdome,2655,Tulane,Conference USA,34,13,7,7,7,0.871355575,2296,Jackson State,,7,0,0,0,7,0.128644425,2.800353152
332410254,2013,1,regular,2013-08-29T20:00:00.000Z,,FALSE,FALSE,45237,587,Rice-Eccles Stadium,254,Utah,Pac-12,30,14,0,10,6,0.637053542,328,Utah State,Mountain West,26,3,14,6,3,0.362946458,7.013359585
332410238,2013,1,regular,2013-08-29T21:15:00.000Z,,FALSE,TRUE,40350,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,35,0,21,7,7,0.564764698,145,Ole Miss,SEC,39,10,0,15,14,0.435235302,7.582824094
332410023,2013,1,regular,2013-08-29T22:00:00.000Z,,FALSE,FALSE,13136,3935,Spartan Stadium,23,San José State,Mountain West,24,3,14,7,0,0.696234064,16,Sacramento State,,0,0,0,0,0,0.303765936,2.367478476
332410278,2013,1,regular,2013-08-29T22:30:00.000Z,,FALSE,FALSE,33098,3660,Bulldog Stadium,278,Fresno State,Mountain West,52,7,14,7,17,0.657182407,164,Rutgers,American Athletic,51,10,10,11,14,0.342817593,8.359737494
332410062,2013,1,regular,2013-08-29T23:00:00.000Z,,FALSE,FALSE,39058,3610,Aloha Stadium,62,Hawai'i,Mountain West,13,0,5,0,8,0.281935696,30,USC,Pac-12,30,3,17,0,10,0.718064304,4.811866818
332420349,2013,1,regular,2013-08-30T19:00:00.000Z,,FALSE,FALSE,24245,3841,Blaik Field at Michie Stadium,349,Army,FBS Independents,28,14,7,7,0,0.939894836,2415,Morgan State,,12,0,6,6,0,0.060105164,1.85084762
332422247,2013,1,regular,2013-08-30T19:00:00.000Z,,FALSE,FALSE,17606,3495,Georgia Dome,2247,Georgia State,Sun Belt,21,7,7,0,7,0.933794456,2535,Samford,,31,7,0,7,17,0.066205544,6.672260527
332422567,2013,1,regular,2013-08-30T20:00:00.000Z,,FALSE,FALSE,34790,3735,Gerald J. Ford Stadium,2567,SMU,American Athletic,23,3,6,7,7,0.546722451,2641,Texas Tech,Big 12,41,3,10,7,21,0.453277549,7.245806011
332420127,2013,1,regular,2013-08-30T20:00:00.000Z,,FALSE,FALSE,71214,3936,Spartan Stadium,127,Michigan State,Big Ten,26,7,6,6,7,0.962310924,2711,Western Michigan,Mid-American,13,0,7,0,6,0.037689076,4.867190179
332422390,2013,1,regular,2013-08-30T20:00:00.000Z,,FALSE,FALSE,50151,3948,Hard Rock Stadium,2390,Miami,ACC,34,3,17,14,0,0.998864161,2226,Florida Atlantic,Conference USA,6,0,3,3,0,0.001135839,7.162847604
332420248,2013,1,regular,2013-08-30T20:30:00.000Z,,FALSE,FALSE,26205,,,248,Houston,American Athletic,62,10,17,14,21,0.998754969,2582,Southern,,13,0,6,7,0,0.001245031,3.003576024
332422306,2013,1,regular,2013-08-30T20:30:00.000Z,,FALSE,FALSE,53351,3636,Bill Snyder Family Football Stadium,2306,Kansas State,Big 12,21,0,7,14,0,0.431371783,2449,North Dakota State,,24,7,0,10,7,0.568628217,5.09583461
332420012,2013,1,regular,2013-08-30T22:00:00.000Z,,FALSE,FALSE,53793,3619,Arizona Stadium,12,Arizona,Pac-12,35,7,7,14,7,0.825549409,2464,Northern Arizona,,0,0,0,0,0,0.174450591,1.843998288
332430275,2013,1,regular,2013-08-31T12:00:00.000Z,,FALSE,FALSE,76306,347,Camp Randall Stadium,275,Wisconsin,Big Ten,45,10,7,21,7,0.981693649,113,UMass,Mid-American,0,0,0,0,0,0.018306351,1.924321475
332430194,2013,1,regular,2013-08-31T12:00:00.000Z,,FALSE,FALSE,103980,3861,Ohio Stadium,194,Ohio State,Big Ten,40,23,7,7,3,0.826327645,2084,Buffalo,Mid-American,20,0,13,7,0,0.173672355,2.396155562
332430103,2013,1,regular,2013-08-31T12:00:00.000Z,,FALSE,FALSE,30922,3615,Alumni Stadium,103,Boston College,ACC,24,7,0,14,3,0.777300447,222,Villanova,,14,14,0,0,0,0.222699553,5.411566451
332430277,2013,1,regular,2013-08-31T12:00:00.000Z,,FALSE,FALSE,56350,3842,Mountaineer Field at Milan Puskar Stadium,277,West Virginia,Big 12,24,7,0,10,7,0.264108373,2729,William & Mary,,17,7,10,0,0,0.735891627,5.473366857
332430356,2013,1,regular,2013-08-31T12:00:00.000Z,,FALSE,FALSE,42175,3832,Memorial Stadium,356,Illinois,Big Ten,42,3,22,14,3,0.959986418,79,Southern Illinois,,34,7,0,17,10,0.040013582,5.174716613
332432132,2013,1,regular,2013-08-31T12:00:00.000Z,,FALSE,FALSE,36007,3854,Nippert Stadium,2132,Cincinnati,American Athletic,42,0,14,14,14,0.995634637,2509,Purdue,Big Ten,7,0,7,0,0,0.004365363,2.774517121
332430059,2013,1,regular,2013-08-31T12:00:00.000Z,,FALSE,FALSE,45759,721,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,70,28,14,21,7,0.999983237,2210,Elon,,0,0,0,0,0,1.67635E-05,1.039691729
332430057,2013,1,regular,2013-08-31T12:21:00.000Z,,FALSE,FALSE,83604,3634,Ben Hill Griffin Stadium,57,Florida,SEC,24,7,10,7,0,0.964757957,2649,Toledo,Mid-American,6,0,3,3,0,0.035242043,2.487037848
332430152,2013,1,regular,2013-08-31T12:30:00.000Z,,FALSE,FALSE,54204,3670,Carter-Finley Stadium,152,NC State,ACC,40,14,10,3,13,0.932264976,2348,Louisiana Tech,Conference USA,14,0,7,0,7,0.067735024,3.079499801
332430120,2013,1,regular,2013-08-31T12:30:00.000Z,,FALSE,FALSE,36321,3665,Maryland Stadium,120,Maryland,ACC,43,13,27,0,3,0.999940568,2229,Florida International,Conference USA,10,3,7,0,0,5.94318E-05,2.737390091
332430245,2013,1,regular,2013-08-31T13:00:00.000Z,,FALSE,FALSE,86686,3795,Kyle Field,245,Texas A&M,SEC,52,7,21,10,14,0.862273108,242,Rice,Conference USA,31,14,7,0,10,0.137726892,4.716210213
332432005,2013,1,regular,2013-08-31T15:00:00.000Z,,FALSE,FALSE,32095,3713,Falcon Stadium,2005,Air Force,Mountain West,38,0,21,10,7,0.989270502,2142,Colgate,,13,7,0,0,6,0.010729498,2.668526622
332430213,2013,1,regular,2013-08-31T15:30:00.000Z,,TRUE,FALSE,0,,,213,Penn State,Big Ten,23,0,6,7,10,0.550739698,183,Syracuse,ACC,17,0,3,7,7,0.449260302,5.258653392
332432294,2013,1,regular,2013-08-31T15:30:00.000Z,,FALSE,FALSE,67402,3793,Kinnick Stadium,2294,Iowa,Big Ten,27,7,17,0,3,0.740683808,2459,Northern Illinois,Mid-American,30,10,7,3,10,0.259316192,6.457587213
332430258,2013,1,regular,2013-08-31T15:30:00.000Z,,FALSE,FALSE,53310,3923,Scott Stadium,258,Virginia,ACC,19,0,3,9,7,0.154521137,252,BYU,FBS Independents,16,0,7,0,9,0.845478863,7.405551115
332430197,2013,1,regular,2013-08-31T15:30:00.000Z,,TRUE,FALSE,35874,,,197,Oklahoma State,Big 12,21,0,7,7,7,0.840331556,344,Mississippi State,SEC,3,3,0,0,0,0.159668444,4.829543037
332430087,2013,1,regular,2013-08-31T15:30:00.000Z,,FALSE,FALSE,80795,3855,Notre Dame Stadium,87,Notre Dame,FBS Independents,28,14,7,7,0,0.98819453,218,Temple,American Athletic,6,0,6,0,0,0.01180547,1.789942009
332430130,2013,1,regular,2013-08-31T15:30:00.000Z,,FALSE,FALSE,112618,3558,Michigan Stadium,130,Michigan,Big Ten,59,14,21,21,3,0.998241983,2117,Central Michigan,Mid-American,9,3,3,0,3,0.001758017,2.779481039
332432483,2013,1,regular,2013-08-31T16:00:00.000Z,,FALSE,FALSE,57769,3626,Autzen Stadium,2483,Oregon,Pac-12,66,24,14,7,21,0.997261578,2447,Nicholls,,3,0,3,0,0,0.002738422,1.173659923
