id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
400548403,2014,1,regular,2014-08-27T19:00:00.000Z,,FALSE,FALSE,10140,3495,Georgia Dome,2247,Georgia State,Sun Belt,38,7,14,0,17,0.704055847,2000,Abilene Christian,,37,3,13,14,7,0.295944153,9.078779615
400548402,2014,1,regular,2014-08-28T18:00:00.000Z,,FALSE,TRUE,82847,3994,Williams-Brice Stadium,2579,South Carolina,SEC,28,7,7,14,0,0.005651845,245,Texas A&M,SEC,52,10,21,14,7,0.994348155,3.553158209
400548092,2014,1,regular,2014-08-28T19:00:00.000Z,,FALSE,FALSE,15793,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,20,0,7,13,0,0.990318529,236,Chattanooga,,16,3,13,0,0,0.009681471,5.788649947
400547829,2014,1,regular,2014-08-28T19:00:00.000Z,,FALSE,FALSE,21003,3817,Malone Stadium,2433,Louisiana Monroe,Sun Belt,17,0,0,10,7,0.989719048,154,Wake Forest,ACC,10,7,3,0,0,0.010280952,6.450991847
400547960,2014,1,regular,2014-08-28T19:00:00.000Z,,FALSE,FALSE,0,3953,TCF Bank Stadium,135,Minnesota,Big Ten,42,7,7,7,21,0.908707479,2197,Eastern Illinois,,20,0,0,0,20,0.091292521,3.084729969
400548090,2014,1,regular,2014-08-28T19:00:00.000Z,,FALSE,FALSE,9104,3768,Summa Field at InfoCision Stadium,2006,Akron,Mid-American,41,21,0,13,7,0.999980819,47,Howard,,0,0,0,0,0,1.91809E-05,0.32051777
400548091,2014,1,regular,2014-08-28T19:00:00.000Z,,FALSE,FALSE,12398,3764,Brigham Field at Huskie Stadium,2459,Northern Illinois,Mid-American,55,17,17,21,0,0.999979429,2506,Presbyterian College,,3,0,0,3,0,2.0571E-05,0.105036554
400548256,2014,1,regular,2014-08-28T19:30:00.000Z,,FALSE,FALSE,45925,587,Rice-Eccles Stadium,254,Utah,Pac-12,56,14,21,14,7,0.999846825,304,Idaho State,,14,7,0,7,0,0.000153175,0.098917259
400548169,2014,1,regular,2014-08-28T20:00:00.000Z,,TRUE,FALSE,32823,3495,Georgia Dome,145,Ole Miss,SEC,35,7,0,0,28,,68,Boise State,Mountain West,13,0,3,3,7,,3.293556074
400547647,2014,1,regular,2014-08-28T20:00:00.000Z,,FALSE,TRUE,19032,3674,Skelly Field at H. A. Chapman Stadium,202,Tulsa,American Athletic,38,0,14,3,11,0.632972613,2655,Tulane,American Athletic,31,7,14,0,7,0.367027387,9.360007166
400548404,2014,1,regular,2014-08-28T20:00:00.000Z,,FALSE,FALSE,13772,3601,Aggie Memorial Stadium,166,New Mexico State,Sun Belt,28,7,7,7,7,0.984145008,13,Cal Poly,,10,7,3,0,0,0.015854992,4.466368311
400547993,2014,1,regular,2014-08-28T22:00:00.000Z,,FALSE,FALSE,30927,3673,CenturyLink Field,265,Washington State,Pac-12,38,3,14,14,7,0.912589383,164,Rutgers,Big Ten,41,7,14,3,17,0.087410617,6.703822136
