id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
400935282,2017,1,regular,2017-08-26T14:30:00.000Z,,FALSE,FALSE,37583,5388,Canvas Stadium,36,Colorado State,Mountain West,58,7,17,10,24,0.998940749,204,Oregon State,Pac-12,27,10,10,0,7,0.001059251,4.952911558
400945031,2017,1,regular,2017-08-26T15:00:00.000Z,,FALSE,FALSE,55427,3801,LaVell Edwards Stadium,252,BYU,FBS Independents,20,7,7,0,6,0.997302608,2502,Portland State,,6,0,6,0,0,0.002697392,4.761282563
400938887,2017,1,regular,2017-08-26T18:00:00.000Z,,FALSE,FALSE,12145,3985,Warren McGuirk Alumni Stadium,113,UMass,FBS Independents,35,7,7,14,7,0.321880311,62,Hawai'i,Mountain West,38,7,7,7,17,0.678119689,8.242704928
400941786,2017,1,regular,2017-08-26T19:30:00.000Z,,FALSE,FALSE,13377,3935,Spartan Stadium,23,San José State,Mountain West,22,16,0,0,6,0.035795782,58,South Florida,American Athletic,42,0,28,7,7,0.964204218,4.777247423
400935257,2017,1,regular,2017-08-26T22:00:00.000Z,,TRUE,FALSE,33101,5363,Allianz Stadium,242,Rice,Conference USA,7,0,0,0,7,0.003555064,24,Stanford,Pac-12,62,21,17,14,10,0.996444936,0.089681859
400938591,2017,1,regular,2017-08-31T18:00:00.000Z,,FALSE,FALSE,38063,3652,Bright House Networks Stadium,2116,UCF,American Athletic,61,14,26,14,7,0.999993103,2229,Florida International,Conference USA,17,7,3,7,0,6.89654E-06,1.141825293
400937445,2017,1,regular,2017-08-31T18:30:00.000Z,,FALSE,FALSE,22643,3630,BB&T Field,154,Wake Forest,ACC,51,16,21,14,0,0.99996862,2506,Presbyterian College,,7,0,0,0,7,3.13795E-05,0.044777989
400935230,2017,1,regular,2017-08-31T19:00:00.000Z,,FALSE,FALSE,43224,3953,TCF Bank Stadium,135,Minnesota,Big Ten,17,14,0,0,3,0.760159437,2084,Buffalo,Mid-American,7,7,0,0,0,0.239840563,2.063791517
400944826,2017,1,regular,2017-08-31T19:00:00.000Z,,FALSE,FALSE,24333,4246,Georgia State Stadium,2247,Georgia State,Sun Belt,10,0,3,0,7,0.062890875,2634,Tennessee State,,17,3,7,7,0,0.937109125,5.407581791
400944889,2017,1,regular,2017-08-31T19:00:00.000Z,,FALSE,FALSE,22104,3739,Glass Bowl,2649,Toledo,Mid-American,47,13,6,21,7,0.999478286,2210,Elon,,13,0,7,0,6,0.000521714,0.12419138
400944890,2017,1,regular,2017-08-31T19:00:00.000Z,,FALSE,FALSE,16311,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,30,0,13,0,8,0.973612066,227,Rhode Island,,27,0,0,7,14,0.026387934,3.859780963
400941787,2017,1,regular,2017-08-31T19:00:00.000Z,,FALSE,FALSE,30831,3854,Nippert Stadium,2132,Cincinnati,American Athletic,26,0,14,6,6,0.972374341,2046,Austin Peay,,14,0,7,0,7,0.027625659,0.662238676
400935248,2017,1,regular,2017-08-31T19:30:00.000Z,,FALSE,FALSE,45905,587,Rice-Eccles Stadium,254,Utah,Pac-12,37,0,17,10,10,0.998394274,155,North Dakota,,16,3,6,0,7,0.001605726,1.794504517
400941788,2017,1,regular,2017-08-31T19:30:00.000Z,,FALSE,FALSE,24435,3892,Rentschler Field,41,Connecticut,American Athletic,27,7,0,7,13,0.697704086,107,Holy Cross,,20,3,17,0,0,0.302295914,6.983793011
400934493,2017,1,regular,2017-08-31T19:30:00.000Z,,FALSE,FALSE,56790,3646,Boone Pickens Stadium,197,Oklahoma State,Big 12,59,21,17,14,7,0.999993989,202,Tulsa,American Athletic,24,0,17,0,7,6.01136E-06,0.750718492
400935229,2017,1,regular,2017-08-31T20:00:00.000Z,,FALSE,TRUE,52929,3830,Memorial Stadium,84,Indiana,Big Ten,21,7,7,7,0,0.006645074,194,Ohio State,Big Ten,49,3,10,22,14,0.993354926,4.287435927
400933828,2017,1,regular,2017-08-31T20:00:00.000Z,,TRUE,FALSE,36055,3983,War Memorial Stadium,8,Arkansas,SEC,49,7,14,14,14,0.999964265,50,Florida A&M,,7,0,0,0,7,3.57353E-05,0.037922278
400944827,2017,1,regular,2017-08-31T21:00:00.000Z,,FALSE,FALSE,10526,3791,Kibbie Dome,70,Idaho,Sun Belt,28,0,14,7,7,0.998272308,16,Sacramento State,,6,0,6,0,0,0.001727692,1.705119815
400941789,2017,1,regular,2017-08-31T21:20:00.000Z,,FALSE,FALSE,10263,3805,Liberty Bowl Memorial Stadium,235,Memphis,American Athletic,37,7,13,17,0,0.067564779,2433,Louisiana Monroe,Sun Belt,29,7,0,7,15,0.932435221,0.763256113
400935247,2017,1,regular,2017-08-31T22:30:00.000Z,,FALSE,FALSE,46596,3947,Sun Devil Stadium,9,Arizona State,Pac-12,37,14,0,16,7,0.809902649,166,New Mexico State,Sun Belt,31,0,13,0,18,0.190097351,1.41620437
400934570,2017,1,regular,2017-09-01T18:00:00.000Z,,FALSE,FALSE,22333,3841,Blaik Field at Michie Stadium,349,Army,FBS Independents,64,21,13,17,13,0.99999415,2230,Fordham,,6,0,6,0,0,5.84951E-06,0.455621305
400944891,2017,1,regular,2017-09-01T18:30:00.000Z,,FALSE,FALSE,12823,3912,Rynearson Stadium,2199,Eastern Michigan,Mid-American,24,14,3,7,0,0.998803901,2429,Charlotte,Conference USA,7,7,0,0,0,0.001196099,2.554141941
400937451,2017,1,regular,2017-09-01T19:00:00.000Z,,FALSE,FALSE,30273,1964,Carrier Dome,183,Syracuse,ACC,50,21,10,13,6,0.999911976,2115,Central Connecticut,,7,0,0,7,0,8.80243E-05,0.035292187
400938592,2017,1,regular,2017-09-01T20:00:00.000Z,,FALSE,FALSE,28481,3715,FAU Stadium,2226,Florida Atlantic,Conference USA,19,3,7,3,6,0.004956383,2426,Navy,American Athletic,42,7,14,14,7,0.995043617,3.046318564
400935250,2017,1,regular,2017-09-01T20:00:00.000Z,,FALSE,FALSE,46093,3754,High Point Solutions Stadium,164,Rutgers,Big Ten,14,7,0,0,7,0.023440453,264,Washington,Pac-12,30,3,7,10,10,0.976559547,1.999083388
400935249,2017,1,regular,2017-09-01T20:00:00.000Z,,TRUE,FALSE,73932,3937,Sports Authority Field at Mile High,38,Colorado,Pac-12,17,10,7,0,0,0.868853773,36,Colorado State,Mountain West,3,0,3,0,0,0.131146227,2.889368772
400935231,2017,1,regular,2017-09-01T21:00:00.000Z,,FALSE,FALSE,75324,347,Camp Randall Stadium,275,Wisconsin,Big Ten,59,0,10,28,21,0.999982078,328,Utah State,Mountain West,10,10,0,0,0,1.79216E-05,1.998216551
400937446,2017,1,regular,2017-09-01T21:30:00.000Z,,FALSE,FALSE,16421,3764,Brigham Field at Huskie Stadium,2459,Northern Illinois,Mid-American,20,3,7,7,3,0.351607937,103,Boston College,ACC,23,3,10,7,3,0.648392063,9.976661905
400935237,2017,1,regular,2017-09-02T12:00:00.000Z,,FALSE,FALSE,101684,3632,Beaver Stadium,213,Penn State,Big Ten,52,14,21,10,7,0.999995537,2006,Akron,Mid-American,0,0,0,0,0,4.46347E-06,0.265455582
400937447,2017,1,regular,2017-09-02T12:00:00.000Z,,FALSE,FALSE,80121,3836,Memorial Stadium,228,Clemson,ACC,56,21,7,21,7,0.999990389,2309,Kent State,Mid-American,3,0,3,0,0,9.61133E-06,0.056603526
400934495,2017,1,regular,2017-09-02T12:00:00.000Z,,FALSE,FALSE,88396,3910,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,41,7,7,20,7,0.364231012,120,Maryland,Big Ten,51,14,16,7,14,0.635768988,6.760300802
400935232,2017,1,regular,2017-09-02T12:00:00.000Z,,FALSE,FALSE,42505,3832,Memorial Stadium,356,Illinois,Big Ten,24,6,10,0,8,0.688989734,2050,Ball State,Mid-American,21,7,0,14,0,0.311010266,7.674522877
