year,rank,team,points
2017,222,Campbell,11.39
2017,223,Murray State,10.99
2017,224,Dayton,10.68
2017,226,Maine,10.24
2017,227,Colgate,10.05
2017,228,South Carolina State,9.98
2017,232,Southeastern Louisiana,9.03
2017,234,Idaho State,8.17
2017,235,Bethune-Cookman,7.76
2017,236,Central Arkansas,7.63
2017,238,VMI,6.81
2017,242,Eastern Illinois,6.67
2017,243,Marist,6.67
2017,245,Elon,6.67
2017,246,San Diego,6.67
2017,249,Nicholls,6.67
2017,251,Sacred Heart,5.92
2017,252,Morehead State,5.81
2017,256,North Carolina A&T,2.97
2017,257,Gardner-Webb,1.97
