year,rank,team,points
2018,209,Southeastern Louisiana,11.11
2018,210,Towson,10.92
2018,211,Savannah State,10.04
2018,213,Mississippi Valley State,9.53
2018,214,Florida A&M,9.03
2018,215,Morgan State,8.95
2018,217,Wofford,8.91
2018,218,Jacksonville,8.89
2018,219,East Tennessee State,8.53
2018,221,Richmond,8.42
2018,222,Southeast Missouri State,8.02
2018,223,Monmouth,7.98
2018,224,New Hampshire,7.98
2018,225,Delaware,7.98
2018,226,Alabama A&M,7.98
2018,227,VMI,7.98
2018,229,Colgate,6.98
2018,232,Brown,6.41
2018,233,Cal Poly,5.97
2018,235,Morehead State,5.80
2018,237,South Dakota State,4.97
2018,238,Wagner,4.97
2018,239,Indiana State,4.93
2018,240,Eastern Illinois,3.97
2018,241,South Carolina State,3.97
2018,245,Drake,0.97
2018,278,Cornell,-0.04
